category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Little Red Riding Hood,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Philippa,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,-2,26,50,0,-2,33,31,-2,53,-2,32,40,30,34,40,-2,11,-2,48,-2,59,0,-2,31,100,54,47,44,50,82,64,31,17,51,30,44,90,50,-2,0,57,-2,38,42,84,47,0,42,23,33,39,40,-2,22,44,73,40,33,-2,33,79,41,16,33,40,32,55,50,22,42,59
Alice,74,-2,0,0,-2,67,42,-2,69,-2,47,58,27,42,33,-2,25,-2,35,-2,83,39,-2,44,11,100,53,50,65,100,100,100,62,43,42,74,74,64,-2,47,29,-2,40,60,74,55,27,78,50,-2,64,43,-2,59,44,63,47,100,0,33,91,45,42,33,50,50,-2,0,50,100,67
Ancient Leshen,50,100,-2,0,-2,25,0,-2,14,-2,67,33,100,0,100,-2,-2,-2,100,-2,42,-2,-2,63,0,60,44,-2,31,100,43,56,50,100,100,79,17,100,-2,-2,-2,-2,57,62,47,25,-2,79,-2,52,78,100,-2,67,20,20,40,33,-2,0,50,92,48,75,53,52,50,-2,50,50,82
Angel,100,100,100,-2,-2,-2,100,-2,44,-2,-2,-2,80,100,71,-2,80,-2,83,-2,100,50,-2,-2,64,-2,100,100,67,-2,-2,-2,67,100,0,-2,100,44,-2,73,56,-2,0,83,-2,0,-2,33,67,0,75,88,-2,50,-2,67,100,100,43,50,-2,-2,-2,0,-2,100,-2,50,-2,-2,100
Angel - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Annie Christmas,67,33,75,-2,-2,-2,39,-2,52,-2,61,32,0,25,33,-2,33,-2,37,-2,0,0,-2,46,-2,50,69,57,59,100,50,50,45,49,26,73,73,0,-2,25,0,-2,28,38,72,34,22,60,-2,50,70,20,-2,40,67,76,45,50,0,50,90,40,61,60,56,31,0,-2,14,100,81
Beowulf,69,58,100,0,-2,61,-2,-2,59,-2,85,40,48,54,0,-2,33,-2,30,-2,-2,33,-2,78,100,100,78,48,30,100,100,-2,30,100,13,58,76,50,-2,63,40,-2,63,57,89,63,71,100,33,-2,85,50,-2,27,67,79,86,20,50,0,80,71,31,0,-2,55,-2,0,67,100,85
Beowulf - Alt 1.0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,0,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2
Bigfoot,47,31,86,56,-2,48,41,-2,-2,-2,33,13,45,25,50,-2,25,-2,18,-2,88,100,-2,9,0,59,61,0,53,92,60,25,48,55,33,35,60,30,-2,14,18,-2,54,26,67,53,14,31,0,0,26,31,-2,33,47,78,25,43,0,33,84,39,12,29,20,37,100,0,18,71,61
Bigfoot - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,20,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,50,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Black Panther,68,53,33,-2,-2,39,15,-2,67,-2,-2,55,33,42,14,-2,50,-2,5,-2,33,62,-2,42,-2,76,55,17,35,60,70,67,32,89,32,35,62,40,-2,0,100,-2,30,64,79,65,65,66,67,0,81,16,-2,58,78,82,58,50,-2,67,57,44,50,0,50,60,-2,-2,62,75,46
Black Widow,60,42,67,-2,-2,68,60,-2,87,-2,45,-2,60,50,-2,-2,-2,-2,41,-2,100,33,-2,32,-2,49,63,50,50,75,100,25,100,85,50,72,55,0,-2,33,-2,-2,71,81,58,71,22,74,40,-2,49,44,-2,33,78,70,62,44,-2,-2,55,85,47,75,52,71,100,-2,48,-2,46
Bloody Mary,70,73,0,20,-2,100,52,-2,55,-2,67,40,-2,73,0,-2,40,-2,57,-2,100,0,-2,53,35,50,88,100,82,67,-2,0,42,61,67,89,72,41,-2,38,29,-2,38,80,71,77,30,50,63,100,79,29,-2,0,75,100,68,18,50,65,83,100,41,-2,33,40,-2,0,100,100,40
Bruce Lee,66,58,100,0,-2,75,46,-2,75,-2,58,50,27,-2,25,-2,54,-2,49,-2,33,50,-2,46,20,50,58,72,64,75,50,-2,42,75,20,53,75,28,-2,64,18,-2,57,74,68,64,33,28,0,0,46,47,-2,47,67,86,50,52,33,39,32,38,36,33,100,25,-2,0,25,100,49
Buffy Giles,60,67,0,29,-2,67,100,-2,50,-2,86,-2,100,75,-2,-2,0,-2,45,-2,-2,67,-2,67,100,100,100,57,75,75,-2,100,60,-2,100,-2,50,48,-2,45,25,-2,86,75,100,100,100,-2,67,-2,60,59,-2,0,-2,100,100,75,0,67,33,67,-2,-2,100,100,-2,33,100,-2,50
Buffy Giles - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Buffy Xander,89,75,-2,20,-2,67,67,-2,75,-2,50,-2,60,46,100,-2,-2,-2,47,-2,-2,38,-2,50,50,-2,-2,100,100,100,-2,-2,-2,100,25,-2,67,50,-2,67,33,-2,67,100,100,0,40,100,20,100,50,39,-2,0,-2,67,60,27,50,0,100,100,0,-2,0,-2,-2,-2,0,-2,67
